path,label
dataset/mouth\yawn\aug_0_1040.jpg,yawn
dataset/mouth\yawn\aug_0_1041.jpg,yawn
dataset/mouth\yawn\aug_0_1042.jpg,yawn
dataset/mouth\yawn\aug_0_1043.jpg,yawn
dataset/mouth\yawn\aug_0_1044.jpg,yawn
dataset/mouth\yawn\aug_0_1045.jpg,yawn
dataset/mouth\yawn\aug_0_1046.jpg,yawn
dataset/mouth\yawn\aug_0_1047.jpg,yawn
dataset/mouth\yawn\aug_0_1048.jpg,yawn
dataset/mouth\yawn\aug_0_1049.jpg,yawn
dataset/mouth\yawn\aug_0_1050.jpg,yawn
dataset/mouth\yawn\aug_0_1051.jpg,yawn
dataset/mouth\yawn\aug_0_1052.jpg,yawn
dataset/mouth\yawn\aug_0_1053.jpg,yawn
dataset/mouth\yawn\aug_0_1054.jpg,yawn
dataset/mouth\yawn\aug_0_1055.jpg,yawn
dataset/mouth\yawn\aug_0_1057.jpg,yawn
dataset/mouth\yawn\aug_0_1059.jpg,yawn
dataset/mouth\yawn\aug_0_1060.jpg,yawn
dataset/mouth\yawn\aug_0_1061.jpg,yawn
dataset/mouth\yawn\aug_0_1062.jpg,yawn
dataset/mouth\yawn\aug_0_1063.jpg,yawn
dataset/mouth\yawn\aug_0_1064.jpg,yawn
dataset/mouth\yawn\aug_0_1066.jpg,yawn
dataset/mouth\yawn\aug_0_1067.jpg,yawn
dataset/mouth\yawn\aug_0_1068.jpg,yawn
dataset/mouth\yawn\aug_0_1069.jpg,yawn
dataset/mouth\yawn\aug_0_107.jpg,yawn
dataset/mouth\yawn\aug_0_1070.jpg,yawn
dataset/mouth\yawn\aug_0_1072.jpg,yawn
dataset/mouth\yawn\aug_0_1073.jpg,yawn
dataset/mouth\yawn\aug_0_1074.jpg,yawn
dataset/mouth\yawn\aug_0_1075.jpg,yawn
dataset/mouth\yawn\aug_0_1076.jpg,yawn
dataset/mouth\yawn\aug_0_1078.jpg,yawn
dataset/mouth\yawn\aug_0_1079.jpg,yawn
dataset/mouth\yawn\aug_0_108.jpg,yawn
dataset/mouth\yawn\aug_0_1080.jpg,yawn
dataset/mouth\yawn\aug_0_1081.jpg,yawn
dataset/mouth\yawn\aug_0_1082.jpg,yawn
dataset/mouth\yawn\aug_0_1083.jpg,yawn
dataset/mouth\yawn\aug_0_1084.jpg,yawn
dataset/mouth\yawn\aug_0_1085.jpg,yawn
dataset/mouth\yawn\aug_0_1088.jpg,yawn
dataset/mouth\yawn\aug_0_1089.jpg,yawn
dataset/mouth\yawn\aug_0_109.jpg,yawn
dataset/mouth\yawn\aug_0_1090.jpg,yawn
dataset/mouth\yawn\aug_0_1091.jpg,yawn
dataset/mouth\yawn\aug_0_1092.jpg,yawn
dataset/mouth\yawn\aug_0_1093.jpg,yawn
dataset/mouth\yawn\aug_0_1095.jpg,yawn
dataset/mouth\yawn\aug_0_1096.jpg,yawn
dataset/mouth\yawn\aug_0_1097.jpg,yawn
dataset/mouth\yawn\aug_0_1098.jpg,yawn
dataset/mouth\yawn\aug_0_1099.jpg,yawn
dataset/mouth\yawn\aug_0_11.jpg,yawn
dataset/mouth\yawn\aug_0_1100.jpg,yawn
dataset/mouth\yawn\aug_0_1101.jpg,yawn
dataset/mouth\yawn\aug_0_1102.jpg,yawn
dataset/mouth\yawn\aug_0_1103.jpg,yawn
dataset/mouth\yawn\aug_0_1104.jpg,yawn
dataset/mouth\yawn\aug_0_1105.jpg,yawn
dataset/mouth\yawn\aug_0_1106.jpg,yawn
dataset/mouth\yawn\aug_0_1107.jpg,yawn
dataset/mouth\yawn\aug_0_1108.jpg,yawn
dataset/mouth\yawn\aug_0_1109.jpg,yawn
dataset/mouth\yawn\aug_0_1110.jpg,yawn
dataset/mouth\yawn\aug_0_1111.jpg,yawn
dataset/mouth\yawn\aug_0_1112.jpg,yawn
dataset/mouth\yawn\aug_0_1113.jpg,yawn
dataset/mouth\yawn\aug_0_1114.jpg,yawn
dataset/mouth\yawn\aug_0_1115.jpg,yawn
dataset/mouth\yawn\aug_0_1116.jpg,yawn
dataset/mouth\yawn\aug_0_1117.jpg,yawn
dataset/mouth\yawn\aug_0_1118.jpg,yawn
dataset/mouth\yawn\aug_0_1119.jpg,yawn
dataset/mouth\yawn\aug_0_1120.jpg,yawn
dataset/mouth\yawn\aug_0_1121.jpg,yawn
dataset/mouth\yawn\aug_0_1122.jpg,yawn
dataset/mouth\yawn\aug_0_1123.jpg,yawn
dataset/mouth\yawn\aug_0_1125.jpg,yawn
dataset/mouth\yawn\aug_0_1127.jpg,yawn
dataset/mouth\yawn\aug_0_1129.jpg,yawn
dataset/mouth\yawn\aug_0_113.jpg,yawn
dataset/mouth\yawn\aug_0_1130.jpg,yawn
dataset/mouth\yawn\aug_0_1131.jpg,yawn
dataset/mouth\yawn\aug_0_1132.jpg,yawn
dataset/mouth\yawn\aug_0_1133.jpg,yawn
dataset/mouth\yawn\aug_0_1134.jpg,yawn
dataset/mouth\yawn\aug_0_1135.jpg,yawn
dataset/mouth\yawn\aug_0_1136.jpg,yawn
dataset/mouth\yawn\aug_0_1139.jpg,yawn
dataset/mouth\yawn\aug_0_114.jpg,yawn
dataset/mouth\yawn\aug_0_1140.jpg,yawn
dataset/mouth\yawn\aug_0_1141.jpg,yawn
dataset/mouth\yawn\aug_0_1142.jpg,yawn
dataset/mouth\yawn\aug_0_1143.jpg,yawn
dataset/mouth\yawn\aug_0_1144.jpg,yawn
dataset/mouth\yawn\aug_0_1145.jpg,yawn
dataset/mouth\yawn\aug_0_1146.jpg,yawn
dataset/mouth\yawn\aug_0_1147.jpg,yawn
dataset/mouth\yawn\aug_0_1148.jpg,yawn
dataset/mouth\yawn\aug_0_1149.jpg,yawn
dataset/mouth\yawn\aug_0_115.jpg,yawn
dataset/mouth\yawn\aug_0_1150.jpg,yawn
dataset/mouth\yawn\aug_0_1151.jpg,yawn
dataset/mouth\yawn\aug_0_1153.jpg,yawn
dataset/mouth\yawn\aug_0_1154.jpg,yawn
dataset/mouth\yawn\aug_0_1155.jpg,yawn
dataset/mouth\yawn\aug_0_1156.jpg,yawn
dataset/mouth\yawn\aug_0_1157.jpg,yawn
dataset/mouth\yawn\aug_0_1158.jpg,yawn
dataset/mouth\yawn\aug_0_1159.jpg,yawn
dataset/mouth\yawn\aug_0_116.jpg,yawn
dataset/mouth\yawn\aug_0_1160.jpg,yawn
dataset/mouth\yawn\aug_0_1161.jpg,yawn
dataset/mouth\yawn\aug_0_1162.jpg,yawn
dataset/mouth\yawn\aug_0_1163.jpg,yawn
dataset/mouth\yawn\aug_0_1164.jpg,yawn
dataset/mouth\yawn\aug_0_1165.jpg,yawn
dataset/mouth\yawn\aug_0_1166.jpg,yawn
dataset/mouth\yawn\aug_0_1168.jpg,yawn
dataset/mouth\yawn\aug_0_1169.jpg,yawn
dataset/mouth\yawn\aug_0_117.jpg,yawn
dataset/mouth\yawn\aug_0_1170.jpg,yawn
dataset/mouth\yawn\aug_0_1171.jpg,yawn
dataset/mouth\yawn\aug_0_1172.jpg,yawn
dataset/mouth\yawn\aug_0_1173.jpg,yawn
dataset/mouth\yawn\aug_0_1174.jpg,yawn
dataset/mouth\yawn\aug_0_1175.jpg,yawn
dataset/mouth\yawn\aug_0_1176.jpg,yawn
dataset/mouth\yawn\aug_0_1177.jpg,yawn
dataset/mouth\yawn\aug_0_1178.jpg,yawn
dataset/mouth\yawn\aug_0_1179.jpg,yawn
dataset/mouth\yawn\aug_0_118.jpg,yawn
dataset/mouth\yawn\aug_0_1181.jpg,yawn
dataset/mouth\yawn\aug_0_1183.jpg,yawn
dataset/mouth\yawn\aug_0_1184.jpg,yawn
dataset/mouth\yawn\aug_0_1186.jpg,yawn
dataset/mouth\yawn\aug_0_1187.jpg,yawn
dataset/mouth\yawn\aug_0_1188.jpg,yawn
dataset/mouth\yawn\aug_0_1189.jpg,yawn
dataset/mouth\yawn\aug_0_119.jpg,yawn
dataset/mouth\yawn\aug_0_1190.jpg,yawn
dataset/mouth\yawn\aug_0_1191.jpg,yawn
dataset/mouth\yawn\aug_0_1192.jpg,yawn
dataset/mouth\yawn\aug_0_1193.jpg,yawn
dataset/mouth\yawn\aug_0_1194.jpg,yawn
dataset/mouth\yawn\aug_0_1195.jpg,yawn
dataset/mouth\yawn\aug_0_1196.jpg,yawn
dataset/mouth\yawn\aug_0_1197.jpg,yawn
dataset/mouth\yawn\aug_0_1199.jpg,yawn
dataset/mouth\yawn\aug_0_12.jpg,yawn
dataset/mouth\yawn\aug_0_120.jpg,yawn
dataset/mouth\yawn\aug_0_1200.jpg,yawn
dataset/mouth\yawn\aug_0_1202.jpg,yawn
dataset/mouth\yawn\aug_0_1203.jpg,yawn
dataset/mouth\yawn\aug_0_1204.jpg,yawn
dataset/mouth\yawn\aug_0_1205.jpg,yawn
dataset/mouth\yawn\aug_0_1206.jpg,yawn
dataset/mouth\yawn\aug_0_1207.jpg,yawn
dataset/mouth\yawn\aug_0_1208.jpg,yawn
dataset/mouth\yawn\aug_0_1209.jpg,yawn
dataset/mouth\yawn\aug_0_121.jpg,yawn
dataset/mouth\yawn\aug_0_1210.jpg,yawn
dataset/mouth\yawn\aug_0_1211.jpg,yawn
dataset/mouth\yawn\aug_0_1212.jpg,yawn
dataset/mouth\yawn\aug_0_1213.jpg,yawn
dataset/mouth\yawn\aug_0_1215.jpg,yawn
dataset/mouth\yawn\aug_0_1216.jpg,yawn
dataset/mouth\yawn\aug_0_1218.jpg,yawn
dataset/mouth\yawn\aug_0_1219.jpg,yawn
dataset/mouth\yawn\aug_0_122.jpg,yawn
dataset/mouth\yawn\aug_0_1220.jpg,yawn
dataset/mouth\yawn\aug_0_1222.jpg,yawn
dataset/mouth\yawn\aug_0_1223.jpg,yawn
dataset/mouth\yawn\aug_0_1225.jpg,yawn
dataset/mouth\yawn\aug_0_1226.jpg,yawn
dataset/mouth\yawn\aug_0_1227.jpg,yawn
dataset/mouth\yawn\aug_0_1228.jpg,yawn
dataset/mouth\yawn\aug_0_1229.jpg,yawn
dataset/mouth\yawn\aug_0_123.jpg,yawn
dataset/mouth\yawn\aug_0_1230.jpg,yawn
dataset/mouth\yawn\aug_0_1231.jpg,yawn
dataset/mouth\yawn\aug_0_1232.jpg,yawn
dataset/mouth\yawn\aug_0_1233.jpg,yawn
dataset/mouth\yawn\aug_0_1234.jpg,yawn
dataset/mouth\yawn\aug_0_1235.jpg,yawn
dataset/mouth\yawn\aug_0_1236.jpg,yawn
dataset/mouth\yawn\aug_0_1237.jpg,yawn
dataset/mouth\yawn\aug_0_1238.jpg,yawn
dataset/mouth\yawn\aug_0_1239.jpg,yawn
dataset/mouth\yawn\aug_0_124.jpg,yawn
dataset/mouth\yawn\aug_0_1240.jpg,yawn
dataset/mouth\yawn\aug_0_1241.jpg,yawn
dataset/mouth\yawn\aug_0_1242.jpg,yawn
dataset/mouth\yawn\aug_0_1243.jpg,yawn
dataset/mouth\yawn\aug_0_1244.jpg,yawn
dataset/mouth\yawn\aug_0_1245.jpg,yawn
dataset/mouth\yawn\aug_0_1246.jpg,yawn
dataset/mouth\yawn\aug_0_1247.jpg,yawn
dataset/mouth\yawn\aug_0_1248.jpg,yawn
dataset/mouth\yawn\aug_0_1249.jpg,yawn
dataset/mouth\yawn\aug_0_125.jpg,yawn
dataset/mouth\yawn\aug_0_1251.jpg,yawn
dataset/mouth\yawn\aug_0_1252.jpg,yawn
dataset/mouth\yawn\aug_0_1253.jpg,yawn
dataset/mouth\yawn\aug_0_1254.jpg,yawn
dataset/mouth\yawn\aug_0_1255.jpg,yawn
dataset/mouth\yawn\aug_0_1256.jpg,yawn
dataset/mouth\yawn\aug_0_1257.jpg,yawn
dataset/mouth\yawn\aug_0_1258.jpg,yawn
dataset/mouth\yawn\aug_0_1259.jpg,yawn
dataset/mouth\yawn\aug_0_126.jpg,yawn
dataset/mouth\yawn\aug_0_1260.jpg,yawn
dataset/mouth\yawn\aug_0_1261.jpg,yawn
dataset/mouth\yawn\aug_0_1262.jpg,yawn
dataset/mouth\yawn\aug_0_1263.jpg,yawn
dataset/mouth\yawn\aug_0_1264.jpg,yawn
dataset/mouth\yawn\aug_0_1265.jpg,yawn
dataset/mouth\yawn\aug_0_1268.jpg,yawn
dataset/mouth\yawn\aug_0_1269.jpg,yawn
dataset/mouth\yawn\aug_0_127.jpg,yawn
dataset/mouth\yawn\aug_0_1270.jpg,yawn
dataset/mouth\yawn\aug_0_1271.jpg,yawn
dataset/mouth\yawn\aug_0_1272.jpg,yawn
dataset/mouth\yawn\aug_0_1274.jpg,yawn
dataset/mouth\yawn\aug_0_1275.jpg,yawn
dataset/mouth\yawn\aug_0_1276.jpg,yawn
dataset/mouth\yawn\aug_0_1277.jpg,yawn
dataset/mouth\yawn\aug_0_1278.jpg,yawn
dataset/mouth\yawn\aug_0_1279.jpg,yawn
dataset/mouth\yawn\aug_0_128.jpg,yawn
dataset/mouth\yawn\aug_0_1280.jpg,yawn
dataset/mouth\yawn\aug_0_1282.jpg,yawn
dataset/mouth\yawn\aug_0_1284.jpg,yawn
dataset/mouth\yawn\aug_0_1286.jpg,yawn
dataset/mouth\yawn\aug_0_1287.jpg,yawn
dataset/mouth\yawn\aug_0_1288.jpg,yawn
dataset/mouth\yawn\aug_0_129.jpg,yawn
dataset/mouth\yawn\aug_0_1290.jpg,yawn
dataset/mouth\yawn\aug_0_1291.jpg,yawn
dataset/mouth\yawn\aug_0_1292.jpg,yawn
dataset/mouth\yawn\aug_0_1294.jpg,yawn
dataset/mouth\yawn\aug_0_1295.jpg,yawn
dataset/mouth\yawn\aug_0_1296.jpg,yawn
dataset/mouth\yawn\aug_0_1297.jpg,yawn
dataset/mouth\yawn\aug_0_1298.jpg,yawn
dataset/mouth\yawn\aug_0_1299.jpg,yawn
dataset/mouth\yawn\aug_0_13.jpg,yawn
dataset/mouth\yawn\aug_0_130.jpg,yawn
dataset/mouth\yawn\aug_0_1300.jpg,yawn
dataset/mouth\yawn\aug_0_1301.jpg,yawn
dataset/mouth\yawn\aug_0_1303.jpg,yawn
dataset/mouth\yawn\aug_0_1304.jpg,yawn
dataset/mouth\yawn\aug_0_1305.jpg,yawn
dataset/mouth\yawn\aug_0_1306.jpg,yawn
dataset/mouth\yawn\aug_0_1307.jpg,yawn
dataset/mouth\yawn\aug_0_1308.jpg,yawn
dataset/mouth\yawn\aug_0_1309.jpg,yawn
dataset/mouth\yawn\aug_0_131.jpg,yawn
dataset/mouth\yawn\aug_0_1310.jpg,yawn
dataset/mouth\yawn\aug_0_1311.jpg,yawn
dataset/mouth\yawn\aug_0_1312.jpg,yawn
dataset/mouth\yawn\aug_0_1313.jpg,yawn
dataset/mouth\yawn\aug_0_1314.jpg,yawn
dataset/mouth\yawn\aug_0_1315.jpg,yawn
dataset/mouth\yawn\aug_0_1316.jpg,yawn
dataset/mouth\yawn\aug_0_1317.jpg,yawn
dataset/mouth\yawn\aug_0_1318.jpg,yawn
dataset/mouth\yawn\aug_0_1319.jpg,yawn
dataset/mouth\yawn\aug_0_132.jpg,yawn
dataset/mouth\yawn\aug_0_1320.jpg,yawn
dataset/mouth\yawn\aug_0_1321.jpg,yawn
dataset/mouth\yawn\aug_0_1324.jpg,yawn
dataset/mouth\yawn\aug_0_1325.jpg,yawn
dataset/mouth\yawn\aug_0_1326.jpg,yawn
dataset/mouth\yawn\aug_0_1327.jpg,yawn
dataset/mouth\yawn\aug_0_1329.jpg,yawn
dataset/mouth\yawn\aug_0_133.jpg,yawn
dataset/mouth\yawn\aug_0_1330.jpg,yawn
dataset/mouth\yawn\aug_0_1331.jpg,yawn
dataset/mouth\yawn\aug_0_1332.jpg,yawn
dataset/mouth\yawn\aug_0_1333.jpg,yawn
dataset/mouth\yawn\aug_0_1334.jpg,yawn
dataset/mouth\yawn\aug_0_1335.jpg,yawn
dataset/mouth\yawn\aug_0_1336.jpg,yawn
dataset/mouth\yawn\aug_0_1339.jpg,yawn
dataset/mouth\yawn\aug_0_134.jpg,yawn
dataset/mouth\yawn\aug_0_1340.jpg,yawn
dataset/mouth\yawn\aug_0_1343.jpg,yawn
dataset/mouth\yawn\aug_0_1344.jpg,yawn
dataset/mouth\yawn\aug_0_1345.jpg,yawn
dataset/mouth\yawn\aug_0_1346.jpg,yawn
dataset/mouth\yawn\aug_0_1347.jpg,yawn
dataset/mouth\yawn\aug_0_1348.jpg,yawn
dataset/mouth\yawn\aug_0_1349.jpg,yawn
dataset/mouth\yawn\aug_0_1350.jpg,yawn
dataset/mouth\yawn\aug_0_1351.jpg,yawn
dataset/mouth\yawn\aug_0_1352.jpg,yawn
dataset/mouth\yawn\aug_0_1353.jpg,yawn
dataset/mouth\yawn\aug_0_1355.jpg,yawn
dataset/mouth\yawn\aug_0_1356.jpg,yawn
dataset/mouth\yawn\aug_0_1357.jpg,yawn
dataset/mouth\yawn\aug_0_1358.jpg,yawn
dataset/mouth\yawn\aug_0_1359.jpg,yawn
dataset/mouth\yawn\aug_0_136.jpg,yawn
dataset/mouth\yawn\aug_0_1360.jpg,yawn
dataset/mouth\yawn\aug_0_1361.jpg,yawn
dataset/mouth\yawn\aug_0_1362.jpg,yawn
dataset/mouth\yawn\aug_0_1363.jpg,yawn
dataset/mouth\yawn\aug_0_1364.jpg,yawn
dataset/mouth\yawn\aug_0_1366.jpg,yawn
dataset/mouth\yawn\aug_0_1367.jpg,yawn
dataset/mouth\yawn\aug_0_1369.jpg,yawn
dataset/mouth\yawn\aug_0_1370.jpg,yawn
dataset/mouth\yawn\aug_0_1371.jpg,yawn
dataset/mouth\yawn\aug_0_1372.jpg,yawn
dataset/mouth\yawn\aug_0_1373.jpg,yawn
dataset/mouth\yawn\aug_0_1374.jpg,yawn
dataset/mouth\yawn\aug_0_1375.jpg,yawn
dataset/mouth\yawn\aug_0_1376.jpg,yawn
dataset/mouth\yawn\aug_0_1377.jpg,yawn
dataset/mouth\yawn\aug_0_1378.jpg,yawn
dataset/mouth\yawn\aug_0_1379.jpg,yawn
dataset/mouth\yawn\aug_0_138.jpg,yawn
dataset/mouth\yawn\aug_0_1380.jpg,yawn
dataset/mouth\yawn\aug_0_1382.jpg,yawn
dataset/mouth\yawn\aug_0_1385.jpg,yawn
dataset/mouth\yawn\aug_0_1386.jpg,yawn
dataset/mouth\yawn\aug_0_1388.jpg,yawn
dataset/mouth\yawn\aug_0_1389.jpg,yawn
dataset/mouth\yawn\aug_0_139.jpg,yawn
dataset/mouth\yawn\aug_0_1390.jpg,yawn
dataset/mouth\yawn\aug_0_1391.jpg,yawn
dataset/mouth\yawn\aug_0_1392.jpg,yawn
dataset/mouth\yawn\aug_0_1395.jpg,yawn
dataset/mouth\yawn\aug_0_1396.jpg,yawn
dataset/mouth\yawn\aug_0_140.jpg,yawn
dataset/mouth\yawn\aug_0_1400.jpg,yawn
dataset/mouth\yawn\aug_0_1401.jpg,yawn
dataset/mouth\yawn\aug_0_1403.jpg,yawn
dataset/mouth\yawn\aug_0_1404.jpg,yawn
dataset/mouth\yawn\aug_0_1406.jpg,yawn
dataset/mouth\yawn\aug_0_1408.jpg,yawn
dataset/mouth\yawn\aug_0_1409.jpg,yawn
dataset/mouth\yawn\aug_0_141.jpg,yawn
dataset/mouth\yawn\aug_0_1410.jpg,yawn
dataset/mouth\yawn\aug_0_1411.jpg,yawn
dataset/mouth\yawn\aug_0_1412.jpg,yawn
dataset/mouth\yawn\aug_0_1413.jpg,yawn
dataset/mouth\yawn\aug_0_1415.jpg,yawn
dataset/mouth\yawn\aug_0_1416.jpg,yawn
dataset/mouth\yawn\aug_0_1418.jpg,yawn
dataset/mouth\yawn\aug_0_1419.jpg,yawn
dataset/mouth\yawn\aug_0_142.jpg,yawn
dataset/mouth\yawn\aug_0_1420.jpg,yawn
dataset/mouth\yawn\aug_0_1421.jpg,yawn
dataset/mouth\yawn\aug_0_1425.jpg,yawn
dataset/mouth\yawn\aug_0_1426.jpg,yawn
dataset/mouth\yawn\aug_0_1427.jpg,yawn
dataset/mouth\yawn\aug_0_1428.jpg,yawn
dataset/mouth\yawn\aug_0_1429.jpg,yawn
dataset/mouth\yawn\aug_0_1430.jpg,yawn
dataset/mouth\yawn\aug_0_1431.jpg,yawn
dataset/mouth\yawn\aug_0_1432.jpg,yawn
dataset/mouth\yawn\aug_0_1433.jpg,yawn
dataset/mouth\yawn\aug_0_1436.jpg,yawn
dataset/mouth\yawn\aug_0_1437.jpg,yawn
dataset/mouth\yawn\aug_0_1439.jpg,yawn
dataset/mouth\yawn\aug_0_144.jpg,yawn
dataset/mouth\yawn\aug_0_1441.jpg,yawn
dataset/mouth\yawn\aug_0_1442.jpg,yawn
dataset/mouth\yawn\aug_0_1443.jpg,yawn
dataset/mouth\yawn\aug_0_1444.jpg,yawn
dataset/mouth\yawn\aug_0_1445.jpg,yawn
dataset/mouth\yawn\aug_0_1446.jpg,yawn
dataset/mouth\yawn\aug_0_1447.jpg,yawn
dataset/mouth\yawn\aug_0_1448.jpg,yawn
dataset/mouth\yawn\aug_0_1449.jpg,yawn
dataset/mouth\yawn\aug_0_145.jpg,yawn
dataset/mouth\yawn\aug_0_1450.jpg,yawn
dataset/mouth\yawn\aug_0_1451.jpg,yawn
dataset/mouth\yawn\aug_0_1453.jpg,yawn
dataset/mouth\yawn\aug_0_1454.jpg,yawn
dataset/mouth\yawn\aug_0_1455.jpg,yawn
dataset/mouth\yawn\aug_0_1456.jpg,yawn
dataset/mouth\yawn\aug_0_1457.jpg,yawn
dataset/mouth\yawn\aug_0_1458.jpg,yawn
dataset/mouth\yawn\aug_0_1459.jpg,yawn
dataset/mouth\yawn\aug_0_146.jpg,yawn
dataset/mouth\yawn\aug_0_1460.jpg,yawn
dataset/mouth\yawn\aug_0_1461.jpg,yawn
dataset/mouth\yawn\aug_0_1462.jpg,yawn
dataset/mouth\yawn\aug_0_1463.jpg,yawn
dataset/mouth\yawn\aug_0_1464.jpg,yawn
dataset/mouth\yawn\aug_0_1465.jpg,yawn
dataset/mouth\yawn\aug_0_1466.jpg,yawn
dataset/mouth\yawn\aug_0_1467.jpg,yawn
dataset/mouth\yawn\aug_0_1469.jpg,yawn
dataset/mouth\yawn\aug_0_147.jpg,yawn
dataset/mouth\yawn\aug_0_1471.jpg,yawn
dataset/mouth\yawn\aug_0_1472.jpg,yawn
dataset/mouth\yawn\aug_0_1474.jpg,yawn
dataset/mouth\yawn\aug_0_1476.jpg,yawn
dataset/mouth\yawn\aug_0_1477.jpg,yawn
dataset/mouth\yawn\aug_0_1479.jpg,yawn
dataset/mouth\yawn\aug_0_1480.jpg,yawn
dataset/mouth\yawn\aug_0_1481.jpg,yawn
dataset/mouth\yawn\aug_0_1482.jpg,yawn
dataset/mouth\yawn\aug_0_1483.jpg,yawn
dataset/mouth\yawn\aug_0_1484.jpg,yawn
dataset/mouth\yawn\aug_0_1486.jpg,yawn
dataset/mouth\yawn\aug_0_1487.jpg,yawn
dataset/mouth\yawn\aug_0_1488.jpg,yawn
dataset/mouth\yawn\aug_0_1489.jpg,yawn
dataset/mouth\yawn\aug_0_149.jpg,yawn
dataset/mouth\yawn\aug_0_1491.jpg,yawn
dataset/mouth\yawn\aug_0_1492.jpg,yawn
dataset/mouth\yawn\aug_0_1493.jpg,yawn
dataset/mouth\yawn\aug_0_1495.jpg,yawn
dataset/mouth\yawn\aug_0_1496.jpg,yawn
dataset/mouth\yawn\aug_0_1497.jpg,yawn
dataset/mouth\yawn\aug_0_1499.jpg,yawn
dataset/mouth\yawn\aug_0_150.jpg,yawn
dataset/mouth\yawn\aug_0_1500.jpg,yawn
dataset/mouth\yawn\aug_0_1501.jpg,yawn
dataset/mouth\yawn\aug_0_1503.jpg,yawn
dataset/mouth\yawn\aug_0_1505.jpg,yawn
dataset/mouth\yawn\aug_0_1507.jpg,yawn
dataset/mouth\yawn\aug_0_1509.jpg,yawn
dataset/mouth\yawn\aug_0_151.jpg,yawn
dataset/mouth\yawn\aug_0_1510.jpg,yawn
dataset/mouth\yawn\aug_0_1512.jpg,yawn
dataset/mouth\yawn\aug_0_1513.jpg,yawn
dataset/mouth\yawn\aug_0_1514.jpg,yawn
dataset/mouth\yawn\aug_0_1515.jpg,yawn
dataset/mouth\yawn\aug_0_1517.jpg,yawn
dataset/mouth\yawn\aug_0_1518.jpg,yawn
dataset/mouth\yawn\aug_0_1519.jpg,yawn
dataset/mouth\yawn\aug_0_152.jpg,yawn
dataset/mouth\yawn\aug_0_1521.jpg,yawn
dataset/mouth\yawn\aug_0_1523.jpg,yawn
dataset/mouth\yawn\aug_0_1524.jpg,yawn
dataset/mouth\yawn\aug_0_1525.jpg,yawn
dataset/mouth\yawn\aug_0_1526.jpg,yawn
dataset/mouth\yawn\aug_0_1527.jpg,yawn
dataset/mouth\yawn\aug_0_1528.jpg,yawn
dataset/mouth\yawn\aug_0_153.jpg,yawn
dataset/mouth\yawn\aug_0_1531.jpg,yawn
dataset/mouth\yawn\aug_0_1533.jpg,yawn
dataset/mouth\yawn\aug_0_1534.jpg,yawn
dataset/mouth\yawn\aug_0_1535.jpg,yawn
dataset/mouth\yawn\aug_0_1536.jpg,yawn
dataset/mouth\yawn\aug_0_1537.jpg,yawn
dataset/mouth\yawn\aug_0_1538.jpg,yawn
dataset/mouth\yawn\aug_0_1539.jpg,yawn
dataset/mouth\yawn\aug_0_154.jpg,yawn
dataset/mouth\yawn\aug_0_1540.jpg,yawn
dataset/mouth\yawn\aug_0_1541.jpg,yawn
dataset/mouth\yawn\aug_0_1542.jpg,yawn
